venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
bar,Calle 180,,,,,,,4.7584053,-74.0486587,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00046,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
bar,Calle 180,,,,,,,4.7582516,-74.0483636,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00047,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
cigarreria bar 43,Carrera 48A 43,,,,,,,4.7574391,-74.0476268,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00048,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Sabana Bar,,,,,,,,4.6328312,-74.0650896,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00049,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
BAR,,,,,,,,4.6539616,-74.1093371,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00050,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
barbacoas,,,,,,,,4.6540899,-74.1094041,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00051,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
La Barra,1|2 32 Carrera 65,cali,,,,,,3.4003536,-76.5424406,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00052,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Bar Viejo Café - Tango,calle 53 # 47,,,,,,,6.3372257,-75.5563855,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00053,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Bar Pescadero del Restrepo,Carrera 24H 20 62 Sur,Bogotá,,,,,,4.5876737,-74.1073771,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00054,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Morichal Parrilla - Bar,,,,,,,,4.6732717,-74.1088276,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00055,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Barra Suiza,82,,,,,,,4.6054186,-74.0665516,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00056,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Chupitos Bar,,,,,,,,4.6677533,-74.0557975,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00057,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
