venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Meiselmarkt Cafe-Pub,11 Meiselstraße,Wien,,1150,,,,48.1974616,16.3208687,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00001,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Pub Schnaitl,5 Bergstraße,Salzburg,,5020,+43 662 276295,,,47.8029899,13.0457978,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00002,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Celtic Spirit - Irish Pub,22 Priesterhausgasse,Salzburg,,5020,,https://www.salzburgirishpub.com/,,47.8035818,13.0450419,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00003,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
BackBone Irish Pub,,,,,,,,48.2044132,16.3432618,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00004,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Anton Frank - cafe bar,25 Gymnasiumstraße,Wien,,1180,,,,48.2290642,16.3437056,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00005,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Rote Bar,,,,,,,,48.2050948,16.3573016,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00006,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Charlie P's Irish Pub,3 Währinger Straße,Wien,,1090,+4314097923,https://www.charlieps.at/,,48.2166113,16.3596067,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00007,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bockshorn Irish Pub,7 Naglergasse,Wien,,1010,+43 1 5329438,https://www.bockshorn.at,,48.2098841,16.3677,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00008,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
BrauBar,47 Hernalser Gürtel,Wien,,1170,,http://www.brau-bar.at/,,48.2171838,16.3413994,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00009,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
The Golden Harp Irish Pub Simmering,50 Simmeringer Hauptstraße,Wien,,1110,+43 1 7494254,https://goldenharp1110.at,,48.1786564,16.4113839,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00010,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Johnny's Pub,11 Schleifmühlgasse,,,1040,+43 1 587 19 21,https://johnnys-pub.at/,,48.1970101,16.3653882,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00011,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Mi Barrio,2 Döblinger Gürtel,Wien,,1190,,https://www.mibarrio.at/,,48.2320509,16.3545302,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00012,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Quentin's Kaffeebar,96 Kaiserstraße,Wien,,1070,+43 699 17 15 1009,http://www.quentin-kaffeebar.com,,48.2070299,16.339717,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00013,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Gönnerbar,101 Mariahilfer Straße,Wien,,1060,,,,48.1964704,16.3460653,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00014,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Pub by Charles,2a Hütteldorfer Straße,Wien,,1150,,,,48.201731,16.3361592,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00015,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Radio - The Label-Bar,,,,,,https://radiobar.at,,48.1983476,16.3432741,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00016,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Bierbaron,,,,,,,,48.2027087,16.3457249,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00017,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
Chez Bernard Restaurant et Bar,71A Mariahilfer Straße,Wien,,1060,+43 1 581 4600,https://www.chezbernard.at/,,48.1982641,16.3505986,2026-05-24T23:22:24.155190+00:00,approved,active,Austria,community,osm_venues_at_v4,at_00018,at_venues_batch_v4,2026-05-24T23:22:24.155190+00:00,osm_import_terminal_v4,{},venue
