import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
utah_production_v2,1,state_curated_utah_v2,bout_time_vineyard,Bout Time Pub & Grub Vineyard,568 Mill Road B106,Vineyard,UT,84058,USA,40.3077381,-111.7364354,(385) 203-2688,https://www.bouttimepub.com/location/vineyard-utah/
utah_production_v2,2,state_curated_utah_v2,bout_time_west_valley,Bout Time Pub & Grub West Valley,2569 S 5600 W,West Valley City,UT,84120,USA,40.7139831,-112.0239796,(385) 563-3410,https://www.bouttimepub.com/location/west-valley-utah-2/
utah_production_v2,3,state_curated_utah_v2,bout_time_draper,Bout Time Pub & Grub Draper,1194 Draper Parkway,Draper,UT,84020,USA,40.5286660,-111.8475642,(385) 361-4153,https://www.bouttimepub.com/location/draper-utah/
utah_production_v2,4,state_curated_utah_v2,bout_time_lehi,Bout Time Pub & Grub Lehi,1820 W Traverse Pkwy Suite H,Lehi,UT,84043,USA,40.4326696,-111.8750651,(385) 352-8223,https://www.bouttimepub.com/location/lehi-utah/
utah_production_v2,5,state_curated_utah_v2,bout_time_ogden,Bout Time Pub & Grub Ogden,3651 Wall Ave #1232,Ogden,UT,84405,USA,41.1963290,-111.9795650,(385) 492-3095,https://www.bouttimepub.com/hours-and-locations/
utah_production_v2,6,state_curated_utah_v2,bout_time_sandy,Bout Time Pub & Grub Sandy,31 W 10600 S Ste 35,Sandy,UT,84070,USA,40.5599249,-111.8965045,(385) 275-7056,https://www.bouttimepub.com/location/sandy-utah/
utah_production_v2,7,state_curated_utah_v2,bout_time_tooele,Bout Time Pub & Grub Tooele,615 North Main Street,Tooele,UT,84074,USA,40.5430476,-112.2989904,(435) 833-9030,https://www.bouttimepub.com/hours-and-locations/
utah_production_v2,8,state_curated_utah_v2,bout_time_west_jordan,Bout Time Pub & Grub West Jordan,7211 W Plaza Center Dr #190,West Jordan,UT,84084,USA,40.6206000,-111.9788223,(801) 280-1000,https://www.bouttimepub.com/location/west-jordan-utah/
utah_production_v2,9,state_curated_utah_v2,the_break_murray,The Break Murray,4760 S 900 E,Millcreek,UT,84117,USA,40.7127083,-111.8018905,(385) 474-6203,https://thebreakmurray.com/
utah_production_v2,10,state_curated_utah_v2,the_break_saratoga_springs,The Break Saratoga Springs,127 W Lake Dr,Saratoga Springs,UT,84045,USA,40.3866351,-111.9201144,(385) 200-2030,https://www.thebreaksaratogasprings.com/
